source_record_key,source_id,source_row_number,category_raw,category_normalized,canonical_category_family,category_mapping_status,product_name_raw,location_raw,price_raw,price_idr,price_parse_status,overall_rating_raw,product_overall_rating,overall_rating_parse_status,number_sold_raw,number_sold_value,number_sold_semantics,number_sold_parse_status,total_review_raw,total_review_value,total_review_parse_status,customer_rating,review_text_raw,review_text_normalized_match,sentiment_label_raw,emotion_label_raw,rating_sentiment_consistency,cross_source_exact_overlap_flag,cross_source_normalized_overlap_flag,cross_source_near_duplicate_candidate_flag
04c9aa6c9c5a5081a82a4c182959bcfe4e0609f6fccd32952a3745bcbed3c74e,SRC_PRDECT_ID_V1,1,Computers and Laptops,computers and laptops,,UNMAPPED,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,,MISSING,4.9,4.9,EXACT,5449,5449,EXACT,EXACT,2369,2369,EXACT,5,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,alhamdulillah berfungsi dengan baik packaging aman respon cepat dan ramah seller dan kurir amanah,Positive,Happy,CONSISTENT,False,False,True
8b8dfaded67fc4e2cd98866eaee5946c42a6c23951f951dd4ea2cea2d37f81d5,SRC_PRDECT_ID_V1,2,Computers and Laptops,computers and laptops,,UNMAPPED,PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS,Kota Tangerang Selatan,72000,,MISSING,4.9,4.9,EXACT,2359,2359,EXACT,EXACT,1044,1044,EXACT,5,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",barang bagus dan respon cepat harga bersaing dengan yg lain,Positive,Happy,CONSISTENT,False,False,True
ac67bbc288aa0abdf789d847edc0a710e9e5927b4740947d92da09170bc5c41b,SRC_PRDECT_ID_V1,3,Computers and Laptops,computers and laptops,,UNMAPPED,SSD Midasforce 128 Gb - Tanpa Caddy,Jakarta Barat,213000,,MISSING,5.0,5.0,EXACT,12300,12300,EXACT,EXACT,3573,3573,EXACT,5,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",barang bagus berfungsi dengan baik seler ramah pengiriman cepat,Positive,Happy,CONSISTENT,False,False,True
056afe18fccf147522e7775491b2a003e6b7c6e50899de2a7af4b02d1107ee86,SRC_PRDECT_ID_V1,4,Computers and Laptops,computers and laptops,,UNMAPPED,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,,MISSING,4.7,4.7,EXACT,2030,2030,EXACT,EXACT,672,672,EXACT,5,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,bagus sesuai harapan penjual nya juga ramah trimakasih pelapak ,Positive,Happy,CONSISTENT,False,False,True
0efacf75f18af65cd3ba765b36bdd45895ff7f1edec5e3318f2d131a6685965a,SRC_PRDECT_ID_V1,5,Computers and Laptops,computers and laptops,,UNMAPPED,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,,MISSING,4.7,4.7,EXACT,2030,2030,EXACT,EXACT,672,672,EXACT,5,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",barang bagus pengemasan aman dapat berfungsi dengan baik,Positive,Happy,CONSISTENT,False,False,True
bbffadf2cf93000b1333355c2828d05674476d8189abc7b7997c2e7bcf1a7248,SRC_PRDECT_ID_V1,6,Computers and Laptops,computers and laptops,,UNMAPPED,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,,MISSING,4.7,4.7,EXACT,2030,2030,EXACT,EXACT,672,672,EXACT,5,"barang bagus, seller ramah..",barang bagus seller ramah,Positive,Happy,CONSISTENT,False,False,True
b233bc1b18999b06bf2b5c2631cf0ec62f52624509a80fda93f6e84918675727,SRC_PRDECT_ID_V1,7,Computers and Laptops,computers and laptops,,UNMAPPED,Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia,Jakarta Selatan,85000,,MISSING,4.9,4.9,EXACT,1339,1339,EXACT,EXACT,718,718,EXACT,5,mantap paten joss,mantap paten joss,Positive,Happy,CONSISTENT,False,False,False
8102a1c29b0cbc7d45ef8d27f0158b70a6ceae6e32a93906ba3742381cf3eb81,SRC_PRDECT_ID_V1,8,Computers and Laptops,computers and laptops,,UNMAPPED,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Jakarta Barat,136500,,MISSING,5.0,5.0,EXACT,1201,1201,EXACT,EXACT,632,632,EXACT,5,"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",works fine respon seller cepat barang berfungsi dengan baik recommended,Positive,Happy,CONSISTENT,False,False,False
4501b24ee9339c5bcd9a72ec7c70c641c0c4a6006758532c1e56c5b3e59cd5cd,SRC_PRDECT_ID_V1,9,Computers and Laptops,computers and laptops,,UNMAPPED,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Jakarta Barat,136500,,MISSING,5.0,5.0,EXACT,1201,1201,EXACT,EXACT,632,632,EXACT,5,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,barang bagus segel utuh original berfungsi dengan bener seller respon nya ajib cepat amir uda gt kasi sarannya pas banget lg dengan kebutuhan mantabbb,Positive,Happy,CONSISTENT,False,False,False
97d544d68e26ea47f77fe1ae758b07b5a6b98c5e0fcb3f562d426e62bc376fe9,SRC_PRDECT_ID_V1,10,Computers and Laptops,computers and laptops,,UNMAPPED,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,,MISSING,4.9,4.9,EXACT,1630,1630,EXACT,EXACT,777,777,EXACT,5,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya,Positive,Happy,CONSISTENT,False,False,False
